snapshot_date,snapshot_ts,match_date,kickoff_utc,league,match,market,odds
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,,League One,Stevenage vs Shrewsbury,btts_yes,2.28
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,,League One,Stockport vs Cambridge,btts_no,1.85
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,,League One,Stockport vs Cambridge,btts_yes,1.98
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,,Championship,Stoke vs Coventry,btts_no,2.38
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,,Championship,Stoke vs Coventry,btts_yes,1.7
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,,League Two,Tranmere vs Notts County,btts_no,2.51
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,,League Two,Tranmere vs Notts County,btts_yes,1.57
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,,League Two,Walsall vs Morecambe,btts_no,2.1
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,,League Two,Walsall vs Morecambe,btts_yes,1.76
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,,League One,Wigan vs Charlton,btts_no,2.03
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,,League One,Wigan vs Charlton,btts_yes,1.82
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,,League One,Wrexham vs Wycombe,btts_no,2.15
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,,League One,Wrexham vs Wycombe,btts_yes,1.74
2024-08-11,2024-08-11T00:00:00Z,2024-08-11,,Bundesliga 2,Braunschweig vs Magdeburg,btts_no,2.6
2024-08-11,2024-08-11T00:00:00Z,2024-08-11,,Bundesliga 2,Braunschweig vs Magdeburg,btts_yes,1.54
2024-08-11,2024-08-11T00:00:00Z,2024-08-11,,Bundesliga 2,Paderborn vs Darmstadt,btts_no,2.55
2024-08-11,2024-08-11T00:00:00Z,2024-08-11,,Bundesliga 2,Paderborn vs Darmstadt,btts_yes,1.54
2024-08-11,2024-08-11T00:00:00Z,2024-08-11,,Bundesliga 2,Preußen Münster vs Hannover,btts_no,2.62
2024-08-11,2024-08-11T00:00:00Z,2024-08-11,,Bundesliga 2,Preußen Münster vs Hannover,btts_yes,1.54
2024-08-11,2024-08-11T00:00:00Z,2024-08-11,,Championship,Sheffield Weds vs Plymouth,btts_no,2.11
2024-08-11,2024-08-11T00:00:00Z,2024-08-11,,Championship,Sheffield Weds vs Plymouth,btts_yes,1.78
2024-08-12,2024-08-12T00:00:00Z,2024-08-12,,Championship,Luton vs Burnley,btts_no,2.34
2024-08-12,2024-08-12T00:00:00Z,2024-08-12,,Championship,Luton vs Burnley,btts_yes,1.67
2024-08-15,2024-08-15T00:00:00Z,2024-08-15,,La Liga 2,Granada vs Albacete,btts_no,1.83
2024-08-15,2024-08-15T00:00:00Z,2024-08-15,,La Liga 2,Granada vs Albacete,btts_yes,1.95
2024-08-16,2024-08-16T00:00:00Z,2024-08-16,,Ligue 2,Ajaccio vs Rodez,btts_no,1.77
2024-08-16,2024-08-16T00:00:00Z,2024-08-16,,Ligue 2,Ajaccio vs Rodez,btts_yes,2.05
2024-08-16,2024-08-16T00:00:00Z,2024-08-16,,Ligue 2,Amiens vs Red Star,btts_no,1.8
2024-08-16,2024-08-16T00:00:00Z,2024-08-16,,Ligue 2,Amiens vs Red Star,btts_yes,2.04
2024-08-16,2024-08-16T00:00:00Z,2024-08-16,,Serie B,Brescia vs Palermo,btts_no,1.91
2024-08-16,2024-08-16T00:00:00Z,2024-08-16,,Serie B,Brescia vs Palermo,btts_yes,1.89
2024-08-16,2024-08-16T00:00:00Z,2024-08-16,,La Liga 2,Cadiz vs Zaragoza,btts_no,1.53
2024-08-16,2024-08-16T00:00:00Z,2024-08-16,,La Liga 2,Cadiz vs Zaragoza,btts_yes,2.55
2024-08-16,2024-08-16T00:00:00Z,2024-08-16,,Ligue 2,Clermont vs Pau FC,btts_no,1.85
2024-08-16,2024-08-16T00:00:00Z,2024-08-16,,Ligue 2,Clermont vs Pau FC,btts_yes,1.96
2024-08-16,2024-08-16T00:00:00Z,2024-08-16,,Championship,Coventry vs Oxford,btts_no,2.22
2024-08-16,2024-08-16T00:00:00Z,2024-08-16,,Championship,Coventry vs Oxford,btts_yes,1.74
2024-08-16,2024-08-16T00:00:00Z,2024-08-16,,Ligue 2,Dunkerque vs Annecy,btts_no,1.92
2024-08-16,2024-08-16T00:00:00Z,2024-08-16,,Ligue 2,Dunkerque vs Annecy,btts_yes,1.9
2024-08-16,2024-08-16T00:00:00Z,2024-08-16,,Ligue 2,Grenoble vs Laval,btts_no,1.8
2024-08-16,2024-08-16T00:00:00Z,2024-08-16,,Ligue 2,Grenoble vs Laval,btts_yes,2.05
2024-08-16,2024-08-16T00:00:00Z,2024-08-16,,Ligue 2,Guingamp vs Troyes,btts_no,1.73
2024-08-16,2024-08-16T00:00:00Z,2024-08-16,,Ligue 2,Guingamp vs Troyes,btts_yes,2.1
2024-08-16,2024-08-16T00:00:00Z,2024-08-16,,La Liga 2,Mirandes vs Cordoba,btts_no,1.76
2024-08-16,2024-08-16T00:00:00Z,2024-08-16,,La Liga 2,Mirandes vs Cordoba,btts_yes,2.14
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Accrington vs Harrogate,btts_no,2.31
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Accrington vs Harrogate,btts_yes,1.64
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Serie B,Bari vs Juve Stabia,btts_no,1.73
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Serie B,Bari vs Juve Stabia,btts_yes,2.14
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Blackpool vs Stockport,btts_no,1.99
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Blackpool vs Stockport,btts_yes,1.85
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Bradford vs Salford,btts_no,2.2
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Bradford vs Salford,btts_yes,1.69
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Championship,Bristol City vs Millwall,btts_no,1.78
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Championship,Bristol City vs Millwall,btts_yes,2.12
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Bromley vs AFC Wimbledon,btts_no,2.15
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Bromley vs AFC Wimbledon,btts_yes,1.73
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Championship,Burnley vs Cardiff,btts_no,2.01
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Championship,Burnley vs Cardiff,btts_yes,1.85
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Ligue 2,Caen vs Paris FC,btts_no,1.93
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Ligue 2,Caen vs Paris FC,btts_yes,1.8
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Cambridge vs Crawley Town,btts_no,2.08
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Cambridge vs Crawley Town,btts_yes,1.8
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Carlisle vs Barrow,btts_no,2.12
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Carlisle vs Barrow,btts_yes,1.76
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Charlton vs Leyton Orient,btts_no,1.93
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Charlton vs Leyton Orient,btts_yes,1.91
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Colchester vs Milton Keynes Dons,btts_no,2.32
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Colchester vs Milton Keynes Dons,btts_yes,1.64
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Crewe vs Chesterfield,btts_no,2.37
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Crewe vs Chesterfield,btts_yes,1.62
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Championship,Derby vs Middlesbrough,btts_no,2.18
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Championship,Derby vs Middlesbrough,btts_yes,1.74
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,La Liga 2,Eibar vs Castellon,btts_no,1.91
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,La Liga 2,Eibar vs Castellon,btts_yes,1.89
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,La Liga 2,Ferrol vs Malaga,btts_no,1.68
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,La Liga 2,Ferrol vs Malaga,btts_yes,2.23
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Grimsby vs Cheltenham,btts_no,2.1
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Grimsby vs Cheltenham,btts_yes,1.76
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Huddersfield vs Stevenage,btts_no,1.85
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Huddersfield vs Stevenage,btts_yes,2.0
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,La Liga 2,La Coruna vs Oviedo,btts_no,1.67
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,La Liga 2,La Coruna vs Oviedo,btts_yes,2.23
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Lincoln vs Barnsley,btts_no,2.16
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Lincoln vs Barnsley,btts_yes,1.73
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Mansfield vs Burton,btts_no,2.3
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Mansfield vs Burton,btts_yes,1.65
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Morecambe vs Gillingham,btts_no,2.1
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Morecambe vs Gillingham,btts_yes,1.8
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Newport County vs Doncaster,btts_no,2.15
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Newport County vs Doncaster,btts_yes,1.73
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Northampton vs Exeter,btts_no,1.98
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Northampton vs Exeter,btts_yes,1.89
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Championship,Norwich vs Blackburn,btts_no,2.23
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Championship,Norwich vs Blackburn,btts_yes,1.7
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Serie B,Pisa vs Spezia,btts_no,1.89
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Serie B,Pisa vs Spezia,btts_yes,2.0
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Championship,Plymouth vs Hull,btts_no,2.49
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Championship,Plymouth vs Hull,btts_yes,1.57
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Port Vale vs Tranmere,btts_no,2.05
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Port Vale vs Tranmere,btts_yes,1.8
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Championship,Portsmouth vs Luton,btts_no,2.34
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Championship,Portsmouth vs Luton,btts_yes,1.67
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Reading vs Wigan,btts_no,1.99
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Reading vs Wigan,btts_yes,1.85
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Rotherham vs Bristol Rvs,btts_no,2.0
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Rotherham vs Bristol Rvs,btts_yes,1.85
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Serie B,Salernitana vs Cittadella,btts_no,1.89
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Serie B,Salernitana vs Cittadella,btts_yes,2.0
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Shrewsbury vs Peterboro,btts_no,2.22
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Shrewsbury vs Peterboro,btts_yes,1.69
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Serie B,Sudtirol vs Modena,btts_no,1.6
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Serie B,Sudtirol vs Modena,btts_yes,2.44
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Championship,Swansea vs Preston,btts_no,2.04
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Championship,Swansea vs Preston,btts_yes,1.85
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Swindon vs Walsall,btts_no,2.5
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League Two,Swindon vs Walsall,btts_yes,1.61
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Championship,Watford vs Stoke,btts_no,2.07
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Championship,Watford vs Stoke,btts_yes,1.82
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Championship,West Brom vs Leeds,btts_no,2.12
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,Championship,West Brom vs Leeds,btts_yes,1.78
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Wycombe vs Birmingham,btts_no,2.04
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,,League One,Wycombe vs Birmingham,btts_yes,1.82
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,League One,Bolton vs Wrexham,btts_no,2.41
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,League One,Bolton vs Wrexham,btts_yes,1.62
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,La Liga 2,Burgos vs Cartagena,btts_no,1.67
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,La Liga 2,Burgos vs Cartagena,btts_yes,2.3
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,Serie B,Catanzaro vs Sassuolo,btts_no,2.15
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,Serie B,Catanzaro vs Sassuolo,btts_yes,1.73
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,Serie B,Cesena vs Carrarese,btts_no,1.7
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,Serie B,Cesena vs Carrarese,btts_yes,2.23
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,Serie B,Cosenza vs Cremonese,btts_no,1.91
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,Serie B,Cosenza vs Cremonese,btts_yes,1.97
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,La Liga 2,Elche vs Huesca,btts_no,1.6
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,La Liga 2,Elche vs Huesca,btts_yes,2.31
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,Serie B,Frosinone vs Sampdoria,btts_no,1.97
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,Serie B,Frosinone vs Sampdoria,btts_yes,1.82
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,League Two,Notts County vs Fleetwood Town,btts_no,2.24
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,League Two,Notts County vs Fleetwood Town,btts_yes,1.68
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,Serie B,Reggiana vs Mantova,btts_no,1.97
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,Serie B,Reggiana vs Mantova,btts_yes,1.86
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,La Liga 2,Santander vs Almeria,btts_no,2.2
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,La Liga 2,Santander vs Almeria,btts_yes,1.76
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,La Liga 2,Sp Gijon vs Levante,btts_no,1.85
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,La Liga 2,Sp Gijon vs Levante,btts_yes,2.0
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,Championship,Sunderland vs Sheffield Weds,btts_no,2.23
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,,Championship,Sunderland vs Sheffield Weds,btts_yes,1.74
2024-08-19,2024-08-19T00:00:00Z,2024-08-19,,La Liga 2,Eldense vs Tenerife,btts_no,1.6
2024-08-19,2024-08-19T00:00:00Z,2024-08-19,,La Liga 2,Eldense vs Tenerife,btts_yes,2.3
2024-08-19,2024-08-19T00:00:00Z,2024-08-19,,Ligue 2,Martigues vs Lorient,btts_no,1.85
2024-08-19,2024-08-19T00:00:00Z,2024-08-19,,Ligue 2,Martigues vs Lorient,btts_yes,2.05
2024-08-19,2024-08-19T00:00:00Z,2024-08-19,,Ligue 2,Metz vs Bastia,btts_no,1.8
2024-08-19,2024-08-19T00:00:00Z,2024-08-19,,Ligue 2,Metz vs Bastia,btts_yes,2.05
2024-08-22,2024-08-22T00:00:00Z,2024-08-22,,League Two,Notts County vs Grimsby,btts_no,2.41
2024-08-22,2024-08-22T00:00:00Z,2024-08-22,,League Two,Notts County vs Grimsby,btts_yes,1.59
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Ligue 2,Annecy vs Martigues,btts_no,1.77
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Ligue 2,Annecy vs Martigues,btts_yes,2.15
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Ligue 2,Bastia vs Amiens,btts_no,1.68
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Ligue 2,Bastia vs Amiens,btts_yes,2.14
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Bundesliga 2,Hannover vs Hamburg,btts_no,2.51
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Bundesliga 2,Hannover vs Hamburg,btts_yes,1.51
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,La Liga 2,Huesca vs La Coruna,btts_no,1.65
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,La Liga 2,Huesca vs La Coruna,btts_yes,2.3
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Bundesliga 2,Karlsruhe vs Elversberg,btts_no,2.7
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Bundesliga 2,Karlsruhe vs Elversberg,btts_yes,1.46
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Ligue 2,Laval vs Guingamp,btts_no,1.7
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Ligue 2,Laval vs Guingamp,btts_yes,2.1
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Serie B,Modena vs Bari,btts_no,1.73
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Serie B,Modena vs Bari,btts_yes,2.12
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Ligue 2,Paris FC vs Dunkerque,btts_no,1.86
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Ligue 2,Paris FC vs Dunkerque,btts_yes,1.87
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Ligue 2,Pau FC vs Caen,btts_no,2.05
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Ligue 2,Pau FC vs Caen,btts_yes,1.71
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Ligue 2,Rodez vs Metz,btts_no,1.95
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Ligue 2,Rodez vs Metz,btts_yes,1.81
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,La Liga 2,Santander vs Eibar,btts_no,2.08
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,La Liga 2,Santander vs Eibar,btts_yes,1.79
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Championship,Sheffield Weds vs Leeds,btts_no,2.12
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Championship,Sheffield Weds vs Leeds,btts_yes,1.76
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Ligue 2,Troyes vs Clermont,btts_no,1.91
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,,Ligue 2,Troyes vs Clermont,btts_yes,1.86
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,,League One,Barnsley vs Northampton,btts_no,2.02
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,,League One,Barnsley vs Northampton,btts_yes,1.82
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,,League Two,Barrow vs Port Vale,btts_no,2.03
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,,League Two,Barrow vs Port Vale,btts_yes,1.81
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,,Championship,Blackburn vs Oxford,btts_no,2.12
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,,Championship,Blackburn vs Oxford,btts_yes,1.76
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,,League Two,Bradford vs Bromley,btts_no,2.0
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,,League Two,Bradford vs Bromley,btts_yes,1.85
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,,Serie B,Brescia vs Cittadella,btts_no,1.82
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,,Serie B,Brescia vs Cittadella,btts_yes,1.97
